Hotel_ID,city,country,temperature,latitud,longitude,Hotel Name
557,Boueni,YT,76.98,-12.9025,45.0761,The feet in water
559,Arawa,PG,84.7,-6.2132,155.5367,Coastline Guest House
560,Bama,NG,76.08,11.5221,13.6856,UN Humanitarian Hub
561,Agadez,NE,79.41,19.75,10.25,
566,Kavaratti,IN,81.46,10.5669,72.642,Green leaf
574,Honiara,SB,86.14,-9.4333,159.95,Heritage Park Hotel
579,San Pedro de Macorís,DO,78.93,18.4616,-69.2972,Apartahotel Guaraguao
580,Novo Aripuanã,BR,75.52,-5.1206,-60.3797,Hotel Ezequiel
586,Goodyear,US,84.76,33.4353,-112.3582,Best Western Phoenix Goodyear Inn
589,Rosetta,EG,76.57,31.4044,30.4164,Green Valley
593,Sīrjān,IR,76.89,29.452,55.6814,MAPNA Building
594,Abucayan,PH,87.82,9.929,123.9146,Calape Forest Resort
597,Praia,CV,75.74,14.9215,-23.5087,LT Aparthotel
606,Myanaung,MM,87.4,18.2833,95.3167,Garden House Bungalow Guesthouse
612,Mareeba,AU,82.44,-17.0,145.4333,Trinity Plains Tourist Park
616,Dinājpur,BD,84.72,25.6272,88.6386,Hotel Sahara
624,Harper,LR,76.53,4.375,-7.7169,Screensaver
625,Dwārka,IN,83.44,22.2394,68.9678,Hotel Narayan Avezika Comfort
628,Chiang Rai,TH,89.31,19.9167,99.9167,Imsuk Homestay at Chiang Rai
630,Kudahuvadhoo,MV,81.72,2.6708,72.8944,Niyama Private Islands Maldives
633,Distrikt Brokopondo,SR,75.36,4.75,-55.1667,Matu Island
635,Samarai,PG,79.18,-10.6167,150.6667,Nuli Sapi
639,Lodwar,KE,82.2,3.1191,35.5973,Solmar Gracious Hotel
641,Beltangadi,IN,78.49,13.9833,75.3,Ramachandra Gerusari (ರಾಮಚಂದ್ರ ಗೆರುಸರಿ)
645,Qui Nhon,VN,82.38,13.7667,109.2333,Seagull Hotel
646,Mount Isa,AU,82.17,-20.7333,139.5,ibis Styles Mt Isa Verona
650,Dimāpur,IN,78.78,25.9,93.7333,Jungjung Homestay
651,Banjar,ID,85.01,-8.19,114.9675,The Hamsa Resort
652,Riyadh,SA,75.34,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
655,Qeshm,IR,87.67,26.9581,56.2719,Qeshm Kavan Hotel
657,Sun City West,US,83.82,33.662,-112.3413,Windmill All Suites Surprise
659,Natal,BR,77.22,-5.795,-35.2094,Villa Park Hotel | Natal
661,Siquijor,PH,89.51,9.2142,123.515,Villa Marmarine Resort
668,Iracoubo,GF,78.01,5.4802,-53.2011,Le Gîte d’Iracoubo
669,Laguna,US,76.32,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
670,Miracema do Tocantins,BR,78.24,-9.5618,-48.3967,Miami Apart Hotel
672,Salinópolis,BR,77.49,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
