City_ID,latitud,longitude,temperature,humidity,cloudiness,wind_speed,country,description,city
112,-26.6481,15.1594,53.19,80,21,14.97,NA,few clouds,Lüderitz
113,30.4833,-115.95,68.83,85,20,6.78,MX,few clouds,San Quintín
114,-34.5322,20.0403,46.8,86,64,5.14,ZA,broken clouds,Bredasdorp
115,28.3724,-16.7119,78.55,53,100,11.39,ES,overcast clouds,Icod de los Vinos
116,41.1667,-81.1998,50.5,82,0,3.44,US,clear sky,Portage
117,25.5198,90.2201,78.31,82,98,2.39,IN,overcast clouds,Tura
118,-30.1811,-50.2056,58.96,87,2,5.26,BR,clear sky,Cidreira
119,-28.45,18.7333,57.6,33,0,6.76,NA,clear sky,Warmbad
120,-17.7125,-39.2481,74.46,80,59,10.98,BR,broken clouds,Caravelas
121,71.9667,102.5,29.23,97,99,5.86,RU,light snow,Khatanga
122,70.6333,147.9167,25.32,79,98,6.62,RU,overcast clouds,Chokurdakh
123,40.2883,38.4236,51.48,90,76,2.86,TR,broken clouds,Şebinkarahisar
124,67.667,12.6934,49.86,80,100,20.02,NO,overcast clouds,Sørland
125,51.3813,1.3862,62.91,78,100,8.01,GB,overcast clouds,Margate
126,63.7506,-68.5145,33.53,100,100,3.0,CA,overcast clouds,Iqaluit
127,41.1415,-73.3579,57.88,88,100,19.57,US,overcast clouds,Westport
128,68.0531,39.5131,46.26,92,100,13.15,RU,overcast clouds,Ostrovnoy
129,26.1903,107.5125,83.37,50,55,10.56,CN,broken clouds,Xiaoweizhai
130,57.79,-152.4072,51.31,87,100,20.71,US,moderate rain,Saint Paul Harbor
131,-28.783,32.0377,66.94,75,74,7.2,ZA,broken clouds,Richards Bay
132,26.3544,127.8686,86.0,72,40,11.5,JP,scattered clouds,Gushikawa
133,-17.3667,30.2,70.9,39,0,10.13,ZW,clear sky,Chinhoyi
134,16.9692,-88.2321,79.84,77,54,5.53,BZ,broken clouds,Stann Creek Town
135,-0.6,73.0833,82.53,71,97,17.78,MV,overcast clouds,Hithadhoo
136,71.9167,114.0833,26.31,96,100,8.41,RU,light snow,Saskylakh
137,22.8909,-109.9124,79.61,77,2,5.44,MX,clear sky,Cabo San Lucas
138,-14.2667,50.1667,71.46,70,100,7.9,MG,overcast clouds,Sambava
139,-23.4923,-58.7972,72.43,48,60,7.29,PY,broken clouds,Pozo Colorado
140,-5.3964,-40.3086,75.54,57,95,10.11,BR,overcast clouds,Independência
141,-0.8667,134.0833,84.51,67,100,8.08,ID,overcast clouds,Manokwari
142,43.3236,145.575,54.28,58,98,19.98,JP,overcast clouds,Nemuro
143,45.6333,85.1833,58.28,18,10,3.31,CN,clear sky,Baijiantan
144,65.6145,-37.6368,32.16,63,2,7.05,GL,clear sky,Tasiilaq
145,9.285,105.7244,82.87,80,99,16.62,VN,overcast clouds,Bac Lieu
146,-20.3428,57.7575,75.22,68,40,11.5,MU,scattered clouds,Bambous Virieux
