City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
96,Esmeraldas,-19.7625,-44.3139,93.31,29,72,7.65,BR,2022-10-02 18:46:16
97,Avarua,-21.2078,-159.775,71.65,73,75,10.36,CK,2022-10-02 18:40:18
98,Hailar,49.2,119.7,28.92,44,73,9.06,CN,2022-10-02 18:46:17
99,Airai,-8.9266,125.4092,61.99,90,100,1.19,TL,2022-10-02 18:40:19
100,Tessalit,20.1986,1.0114,97.65,19,97,4.92,ML,2022-10-02 18:41:32
101,Cabo San Lucas,22.8909,-109.9124,95.61,55,20,9.22,MX,2022-10-02 18:45:42
102,Hithadhoo,-0.6,73.0833,81.82,68,100,12.57,MV,2022-10-02 18:39:40
103,Hobart,-42.8794,147.3294,49.05,90,75,4.61,AU,2022-10-02 18:39:07
104,Denia,38.8408,0.1057,74.75,69,0,8.01,ES,2022-10-02 18:46:18
105,Wana,32.2989,69.5725,70.75,49,0,2.73,PK,2022-10-02 18:46:18
106,Hasaki,35.7333,140.8333,66.6,65,100,5.77,JP,2022-10-02 18:46:19
107,Kavieng,-2.5744,150.7967,81.36,77,7,10.22,PG,2022-10-02 18:41:28
108,Chegdomyn,51.1167,133.0167,41.68,97,100,2.17,RU,2022-10-02 18:46:19
109,Chuy,-33.6971,-53.4616,66.87,50,0,7.14,UY,2022-10-02 18:46:20
110,Tobermory,45.2501,-81.6665,51.62,49,0,15.82,CA,2022-10-02 18:46:20
111,Tasiilaq,65.6145,-37.6368,39.36,96,100,26.96,GL,2022-10-02 18:46:21
112,Shimoda,34.6667,138.95,68.11,81,100,8.39,JP,2022-10-02 18:46:21
113,Watsa,3.0372,29.5355,64.22,97,100,2.84,CD,2022-10-02 18:46:22
114,Kamsack,51.5667,-101.9009,67.23,44,13,6.85,CA,2022-10-02 18:46:22
115,Zaozhuang,34.8647,117.5542,73.83,93,100,5.46,CN,2022-10-02 18:46:22
116,Beringovskiy,63.05,179.3167,40.89,82,100,10.89,RU,2022-10-02 18:46:23
117,Ascension,30.2169,-90.9001,87.1,30,0,3.44,US,2022-10-02 18:46:23
118,Geraldton,-28.7667,114.6,57.61,72,56,13.8,AU,2022-10-02 18:46:24
119,Wukari,7.85,9.7833,76.86,86,66,5.32,NG,2022-10-02 18:46:24
120,Ranghulu,46.65,124.8667,44.62,81,100,18.45,CN,2022-10-02 18:46:25
121,Nome,64.5011,-165.4064,30.27,80,20,4.61,US,2022-10-02 18:46:25
122,Briancon,44.9,6.65,54.63,92,10,7.05,FR,2022-10-02 18:46:26
123,Nago,26.5881,127.9761,81.45,76,35,8.86,JP,2022-10-02 18:46:26
124,Pacific Grove,36.6177,-121.9166,66.65,73,100,7.0,US,2022-10-02 18:38:34
125,Haines Junction,60.7522,-137.5108,44.55,57,77,5.75,CA,2022-10-02 18:46:27
